"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1AJ5F0FMTC3yFU3ocjy1gE","Surfer Girl - Remastered 2001","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:1AhsZr98dNCfhO1XC4Ht7C","Surfer Girl (Remastered)","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","1963-09-16","https://i.scdn.co/image/ab67616d0000b2733149dcf7671f99b4b52f8b91","1","1","148533","https://p.scdn.co/mp3-preview/8a7fecba9558ff539cb167ac36e87a5714ed1204?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USCA20001588","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:3VPTLCJ5lWiLEgZjMXkxGc","If I Had A Hammer","spotify:artist:5FlTKgucbhHvlJVf0pnvOv","Trini Lopez","spotify:album:5PNUGodaJMgcfUqOdEstTf","Trini Lopez - If I Had A Hammer","spotify:artist:5FlTKgucbhHvlJVf0pnvOv","Trini Lopez","2008-06-23","https://i.scdn.co/image/ab67616d0000b273254c8fab624b72db8fb3ce20","1","1","178400","https://p.scdn.co/mp3-preview/ee007d41fa42d1eaf5f58c3d0fb94ed39e0b4d81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEWDL0331014","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:5WqobJbvdtyUI1K5Lfaa6m","Everybody (Rerecorded)","spotify:artist:7t4XHvWfj0XtEB8SNFeALw","Tommy Roe","spotify:album:2CqYJbZzK4gOM33MtBoI6D","The Ultimate Sixties Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2010-03-03","https://i.scdn.co/image/ab67616d0000b273ef6a69c3937b48742afacf28","6","2","192146","https://p.scdn.co/mp3-preview/2649404eea4c44755c00c29b0d602d3683946955?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","USDEI8702606","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:6oF9Fijj6s6AApMT1oW6nf","Easier Said Than Done","spotify:artist:1MRFkxDxTMqNTZJSWgW7VL","The Essex","spotify:album:6KRBqK0UvfDCATk8ORdC73","The Roulette Story","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2009-01-30","https://i.scdn.co/image/ab67616d0000b27399e65f00e66d93928c9929f9","1","30","126040","https://p.scdn.co/mp3-preview/7553e73869c4b103779eab9ce5da3893f30e0a9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","GBAYE6300599","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:2UbOKLjxxvBd8s1rl7rcvl","Ruby Baby","spotify:artist:15FyiY3ChN0QRspHIQYq0W","Dion","spotify:album:0shrG6wS7zNeLtyqhJZ8nY","Super Hits","spotify:artist:15FyiY3ChN0QRspHIQYq0W","Dion","1962","https://i.scdn.co/image/ab67616d0000b2737609d1945bcbb56229bf8bcd","1","1","156160","https://p.scdn.co/mp3-preview/86a5aa0bb7191736b7ffd14274aae1871adbbc7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USSM16201107","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:5mXz9WHwtBeLhv0zhkinMV","Maria Elena","spotify:artist:1TKifb1r4wnGbY5CYIwjGb","Los Indios Tabajaras","spotify:album:7qrX2GdsS3NmyG4yZbL6SY","Los Indios Tabajaras","spotify:artist:1TKifb1r4wnGbY5CYIwjGb","Los Indios Tabajaras","2000-11-25","https://i.scdn.co/image/ab67616d0000b2735c45d8f743654b537766c352","1","1","190160","https://p.scdn.co/mp3-preview/9fcd4c6bd30e5ea45cef8e333cb606656d4d04ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USBL10100334","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:6sbYrzvV5EDVWzBr6dvnMZ","Our Day Will Come","spotify:artist:7y0ngZzIllkP8ZOqgTKQFc","Ruby And The Romantics","spotify:album:1SCeirHiK7XpF8IoIcdxfq","The Very Best Of","spotify:artist:7y0ngZzIllkP8ZOqgTKQFc","Ruby And The Romantics","2009-08-01","https://i.scdn.co/image/ab67616d0000b273abd677fb67512a8290a14a80","1","15","153960","https://p.scdn.co/mp3-preview/7cd660e0cb1207ee929970afbf34721c125d3030?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA370920684","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:0ijOfCj9PHvhnrX6WXrQns","I Can't Stay Mad at You","spotify:artist:5b2OzvLaL6nyxw5pbVbSdy","Skeeter Davis","spotify:album:3KwArr7JHl7ykUNYrrja7N","The Essential Skeeter Davis","spotify:artist:5b2OzvLaL6nyxw5pbVbSdy","Skeeter Davis","1994-05-23","https://i.scdn.co/image/ab67616d0000b273c4c4a5d82534d5e6b2ed349a","1","12","126600","https://p.scdn.co/mp3-preview/26ea94db966d1f66fe9f291bb6e84a20a1d6a9f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USRN19400416","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:2hVw18cNZQsDB8FaGF1CZu","Hello Stranger","spotify:artist:2UocIcNiHj5n4tj1CnBzRq","Barbara Lewis","spotify:album:7s4Xuylu6VmeQ8jOU8bsH3","Essential Soul Masters","spotify:artist:2UocIcNiHj5n4tj1CnBzRq","Barbara Lewis","2011-02-15","https://i.scdn.co/image/ab67616d0000b273e264376c93b1d53406dfdb0f","1","1","166133","https://p.scdn.co/mp3-preview/0be17f03b6132fa504c6932055c4d8cab3fac3fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USXTN1045841","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:2G2YzndIA6jeWFPBXhUjh5","Be My Baby","spotify:artist:7CyeXFnOrfC1N6z4naIpgo","The Ronettes","spotify:album:3vLFWR3fLqfY82WGvaLuyV","Be My Baby: The Very Best of The Ronettes","spotify:artist:7CyeXFnOrfC1N6z4naIpgo","The Ronettes","2011-02-22","https://i.scdn.co/image/ab67616d0000b2734694c5b97d3a88efb5fc71b5","1","2","160906","https://p.scdn.co/mp3-preview/1afcbd164ede375be899615268a947d6f96edaaa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USQX91100088","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:1ZgwPfHk56S9AqfQGGhvRy","Mean Woman Blues","spotify:artist:0JDkhL4rjiPNEp92jAgJnS","Roy Orbison","spotify:album:5sp5ti4vIVLA6ZMuHei35P","The Essential Roy Orbison","spotify:artist:0JDkhL4rjiPNEp92jAgJnS","Roy Orbison","2006","https://i.scdn.co/image/ab67616d0000b273d29064f421e5b8cbbd7b244f","1","17","144506","https://p.scdn.co/mp3-preview/3c9600f6eae75345cd72e55e2f6a7848bff3dcac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USSM19802327","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:2yoTFqvgtJgEK68lfUC9Kp","South Street","spotify:artist:7JSIM5U7TZym5M3Q1AFG80","The Orlons","spotify:album:2yPx8rClZwBIpL17bTJXDw","The Wah-Watusi/South Street","spotify:artist:7JSIM5U7TZym5M3Q1AFG80","The Orlons","1962-01-01","https://i.scdn.co/image/ab67616d0000b273872256a8e66f3f50c890626c","1","19","132453","https://p.scdn.co/mp3-preview/070507cb663a2991a1d9a9fc9e06c2355cd54cba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USA176340790","spotify:user:yjwstn","2025-02-19T10:20:55Z"
"spotify:track:2sWRC12vYVTHjdTD2WOE4v","Days Of Wine And Roses - REMASTERED","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:1qUmcNnG6GBGXw9tLCTJ3V","Greatest Hits - The Best of Henry Mancini","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","2000-09-14","https://i.scdn.co/image/ab67616d0000b273a80c4ebed642070128cb0234","1","12","126933","https://p.scdn.co/mp3-preview/33c5f3e439532d03d902a1087b14313168e600bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USRC10001128","spotify:user:yjwstn","2025-02-19T10:20:55Z"
