Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7HPhrbgMHV5cUskknWA2oo,"Turn The Page","Garage, Inc.","Metallica",1998-11-24,366400,58,captainlufthansa,2020-08-15T02:50:49Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.422,0.818,8,-3.941,1,0.0319,0.0000164,0.0137,0.0931,0.228,149.045,4
3kjrWJMt1j9nl3favBZQIH,"Tuesday's Gone","Garage, Inc.","Metallica",1998-11-24,545733,42,captainlufthansa,2020-10-11T21:23:33Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.457,0.599,8,-5.693,1,0.0273,0.0115,0.00000341,0.709,0.31,136.102,3
3U6sjwor2GyL9gwiolSi1Q,"Dr. Feelgood","Dr. Feelgood","Mötley Crüe",1989,289920,0,captainlufthansa,2020-06-14T21:35:47Z,"glam metal,hard rock,glam rock","Mötley Records",0.537,0.968,2,-3.957,1,0.0705,0.000668,0.00945,0.231,0.348,110.966,4
7GonnnalI2s19OCQO1J7Tf,"Kickstart My Heart","Dr. Feelgood","Mötley Crüe",1989,282653,17,captainlufthansa,2020-09-23T00:13:25Z,"glam metal,hard rock,glam rock","Mötley Records",0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,4
669npuMwVlYFReOpYFYxwH,"Wild Side","Girls, Girls, Girls (Deluxe Version)","Mötley Crüe",1987-05-15,281960,2,captainlufthansa,2022-08-01T23:39:42Z,"glam metal,hard rock,glam rock","BMG Rights Management (US) LLC",0.596,0.896,0,-4.635,1,0.0383,0.00761,0.000595,0.372,0.457,115.093,4
4zXvB4MoQD8onk0NCZbeHG,"Home Sweet Home","Theatre of Pain","Mötley Crüe",1985,240933,1,captainlufthansa,2020-11-03T05:06:46Z,"glam metal,hard rock,glam rock","Mötley Records",0.403,0.777,5,-6.416,1,0.0354,0.0999,0.00000328,0.124,0.149,76.329,4
06EC9TibZK2mACTZ2usK1h,"Live Wire","Too Fast For Love","Mötley Crüe",1981,194586,0,captainlufthansa,2021-04-23T02:36:45Z,"glam metal,hard rock,glam rock","Mötley Records",0.422,0.901,7,-6.655,0,0.0631,0.0000922,0.00000678,0.56,0.673,112.445,4
4jLTF119PfzzJoaNuj3d2p,"Take Me To The Top","Too Fast For Love","Mötley Crüe",1981,223533,0,captainlufthansa,2021-04-23T02:37:18Z,"glam metal,hard rock,glam rock","Mötley Records",0.294,0.817,3,-6.577,1,0.0409,0.0000039,0.222,0.123,0.554,148.966,1
1zfFle2YCXuUFXlAAZ4QOS,"The Dirt (Est. 1981) [feat. Machine Gun Kelly]","The Dirt (Est. 1981) [feat. Machine Gun Kelly]","Mötley Crüe,mgk",2019-02-22,232000,0,captainlufthansa,2021-02-25T23:11:15Z,"glam metal,hard rock,glam rock","Mötley Records",0.432,0.828,1,-5.769,1,0.0669,0.000104,0.000215,0.101,0.367,166.035,4
5aYVqxyetmT5OYmvZCA90X,"Slow Ride","Fool for the City","Foghat",1975,494533,49,captainlufthansa,2021-01-22T15:59:09Z,"rock clásico","Rhino",0.441,0.641,2,-10.527,1,0.0495,0.00608,0.00713,0.175,0.585,113.709,4
09WwqFDqX2zv8rlvf4xYAk,"American Life","Sailing The Seas Of Cheese","Primus",1991-01-01,270106,46,captainlufthansa,2020-11-28T19:01:01Z,"funk rock,metal alternativo,rock alternativo,nu metal","Interscope",0.577,0.642,7,-12.851,0,0.0274,0.0754,0.572,0.0551,0.83,90.514,4
3ZOEytgrvLwQaqXreDs2Jx,"Can't Stop","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,269000,83,captainlufthansa,2020-11-28T19:03:22Z,"funk rock,rock alternativo,rock","Warner Records",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
2oaK4JLVnmRGIO9ytBE1bt,"Dark Necessities","The Getaway","Red Hot Chili Peppers",2016-06-17,302000,73,captainlufthansa,2021-03-10T23:05:52Z,"funk rock,rock alternativo,rock","Warner Records",0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,4
0uppYCG86ajpV2hSR3dJJ0,"Give It Away","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,282906,71,captainlufthansa,2021-03-03T20:11:08Z,"funk rock,rock alternativo,rock","Warner Records",0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,4
0aGQHMr7bc23Y9Ts84ffop,"Around the World","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,238733,68,captainlufthansa,2021-05-08T04:26:02Z,"funk rock,rock alternativo,rock","Warner Records",0.504,0.96,0,-1.464,1,0.183,0.00417,0.569,0.0613,0.774,96.682,4
48UPSzbZjgc449aqz8bxox,"Californication","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,329733,80,captainlufthansa,2021-05-08T04:26:14Z,"funk rock,rock alternativo,rock","Warner Records",0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4
5OAp7U1GWlYeI0qYsdRmbb,"Get Up And Jump - 2002 Digital Remaster","Red Hot Chili Peppers","Red Hot Chili Peppers",1984-08-10,173400,32,captainlufthansa,2020-06-13T23:00:27Z,"funk rock,rock alternativo,rock","Capitol Records",0.652,0.968,2,-5.339,1,0.101,0.00773,0.000844,0.187,0.191,129.569,4
69kOkLUCkxIZYexIgSG8rq,"Get Lucky (feat. Pharrell Williams and Nile Rodgers)","Random Access Memories","Daft Punk,Pharrell Williams,Nile Rodgers",2013-05-20,369626,72,captainlufthansa,2021-01-27T22:41:55Z,"house francés,electrónica,electro","Columbia",0.81,0.793,6,-9.404,0,0.0403,0.0378,0.00000177,0.072,0.863,116.05,4
64sn7wgJfeQKY3Jisnl59w,"Tuesday's Gone","Pronounced' Leh-'Nerd 'Skin-'Nerd","Lynyrd Skynyrd",1973-01-01,450226,64,captainlufthansa,2021-02-19T20:53:10Z,"rock sureño,rock clásico,rock","Geffen*",0.234,0.615,9,-8.636,1,0.0295,0.0778,0.00000567,0.0602,0.41,145.593,3
1jDJFeK9x3OZboIAHsY9k2,"I'm Still Standing","Too Low For Zero","Elton John",1983-05-30,183440,82,captainlufthansa,2021-03-03T02:33:59Z,"","EMI",0.505,0.904,6,-6.863,1,0.179,0.355,0.118,0.14,0.773,176.811,4
3iltRlox3jEeSKuqdW88EK,"Going Up The Country","On The Road Again","Canned Heat",1989-01-01,172866,61,captainlufthansa,2021-05-04T18:19:34Z,"blues rock,blues,classic blues","Capitol Records",0.622,0.239,5,-18.982,0,0.0447,0.859,0.051,0.109,0.737,79.674,4
3yrSvpt2l1xhsV9Em88Pul,"Brown Eyed Girl","Blowin' Your Mind!","Van Morrison",1967-09,183306,77,captainlufthansa,2021-06-25T22:38:32Z,"","Columbia/Legacy",0.491,0.583,7,-10.964,1,0.0376,0.185,0,0.406,0.908,150.566,4
5BIMPccDwShpXq784RJlJp,"Enter Sandman","Metallica","Metallica",1991-08-12,331573,15,captainlufthansa,2021-07-30T03:22:07Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,4
2Q7LpkYrS0PBpoq3iCqypa,"Ramblin' Man","Brothers And Sisters (Deluxe Edition)","Allman Brothers Band",1973-09,288160,0,captainlufthansa,2021-07-30T14:38:27Z,"rock sureño,rock clásico,blues rock,country rock","Universal Music Group",0.309,0.831,1,-8.288,1,0.036,0.488,0.00304,0.286,0.934,181.145,4
5Wqhh9QKqZZmLjLdFLoW04,"Sharp Dressed Man - 2019 Remaster","Goin' 50","ZZ Top",2019-06-14,252746,45,captainlufthansa,2021-08-01T00:35:00Z,"rock sureño,rock clásico,blues rock,rock","Rhino/Warner Records",0.647,0.787,5,-7.476,1,0.0255,0.00043,0.00247,0.105,0.393,125.111,4
0OBwxFLu6Yj61s2OagYbgY,"Gimme All Your Lovin'","Eliminator","ZZ Top",1983-03-23,241080,22,captainlufthansa,2022-06-19T23:00:04Z,"rock sureño,rock clásico,blues rock,rock","Rhino/Warner Records",0.63,0.788,5,-6.7,1,0.0298,0.00322,0.0237,0.0883,0.63,120.059,4
0ADZ5dmXhlfzjMw6lefoPl,"Far Away","All the Right Reasons","Nickelback",2005-09-26,238173,67,captainlufthansa,2021-08-05T05:38:20Z,"post-grunge,rock","Roadrunner Records",0.518,0.797,6,-5.153,1,0.0309,0.000681,0,0.107,0.293,132.918,4
4K3hZHBrWQOlwYwRJWK4dS,"Backwards","Backwards","AMH",2021-08-20,200293,30,captainlufthansa,2021-08-28T23:16:50Z,"","AMH Publishing",0.561,0.944,10,-3.035,0,0.119,0.0000646,0.698,0.203,0.752,139.035,4
